AC113430.1	ENST00000506872	5	+	58197	58915	58915	58915	1	58197,	58915,
SDHA	ENST00000515815	5	+	236512	256682	236512	256358	4	236512,240357,254357,256333,	236599,240476,254506,256682,
SDHA	ENST00000509082	5	+	240443	256682	256682	256682	3	240443,250991,256333,	240476,251043,256682,
SDHA	ENST00000503674	5	+	249053	256679	256679	256679	5	249053,250991,251337,254392,256333,	250776,251103,251468,254506,256679,
SDHA	ENST00000507266	5	+	250693	251359	251359	251359	2	250693,251337,	251103,251359,
SDHA	ENST00000509564	5	+	251336	256682	251336	256358	3	251336,254357,256333,	251468,254506,256682,
SDHA	ENST00000507522	5	+	251340	256679	256679	256679	4	251340,253007,254392,256350,	251468,253080,254506,256679,
AC021087.5	ENST00000651543	5	+	218297	314955	218355	236434	24	218297,223481,224359,225418,225882,228184,230875,233476,236427,240357,250991,251337,254392,256333,263700,264322,270734,271410,272710,304176,306601,311292,313700,314416,	218418,223568,224521,225562,226047,228333,231000,233645,236599,240476,251103,251468,254506,256455,263814,264385,270854,271821,272772,304221,306760,311402,313850,314955,
AC021087.1	ENST00000512642	5	-	269857	271516	271516	271516	2	269857,271344,	270207,271516,
PDCD6	ENST00000614778	5	+	271620	314974	306603	314515	7	271620,271775,272710,304176,306601,311292,314416,	271690,271821,272772,304221,306760,311402,314974,
PDCD6	ENST00000618970	5	+	271620	314974	271720	314515	4	271620,272710,311292,314416,	271821,272772,311402,314974,
PDCD6	ENST00000628729	5	+	271620	314974	271720	304195	5	271620,304176,306601,311292,314416,	271821,304221,306760,311402,314974,
PDCD6	ENST00000515587	5	+	271623	273367	273367	273367	2	271623,272710,	271821,273367,
PDCD6	ENST00000513582	5	+	271624	314969	314969	314969	5	271624,272710,304176,311292,314416,	271821,272772,306754,311402,314969,
PDCD6	ENST00000264933	5	+	271645	314974	271720	314515	6	271645,272710,304176,306601,311292,314416,	271821,272772,304221,306760,311402,314974,
PDCD6	ENST00000505221	5	+	271646	314806	271720	314418	4	271646,272710,304176,314416,	271821,272772,304221,314806,
PDCD6	ENST00000509581	5	+	271656	276940	271720	276016	3	271656,272710,276011,	271821,272772,276940,
PDCD6	ENST00000507528	5	+	271656	314969	271720	314515	6	271656,272710,304176,306601,311292,314416,	271821,272772,304221,306754,311402,314969,
PDCD6	ENST00000505526	5	+	271660	312411	271720	304195	4	271660,304176,306601,311292,	271821,304221,306760,312411,
PDCD6	ENST00000507473	5	+	272711	314686	272711	314515	4	272711,304176,311292,314416,	272772,304221,311402,314686,
PDCD6	ENST00000511482	5	+	306680	314954	314954	314954	4	306680,311292,313700,314416,	306760,311402,313850,314954,
PDCD6	ENST00000512466	5	+	308196	314973	314973	314973	2	308196,314416,	311402,314973,
AHRR	ENST00000506909	5	+	271669	353856	271720	343906	5	271669,272710,304176,343892,353729,	271821,272772,304221,343964,353856,
AHRR	ENST00000505113	5	+	304175	434857	304219	434834	11	304175,343892,353729,376609,413343,422728,423840,427806,432462,432805,433852,	304221,343964,353911,376716,413433,422858,423977,428006,432524,432947,434857,
AHRR	ENST00000316418	5	+	304175	438291	304219	434834	12	304175,343892,353729,376609,413343,422728,423840,427636,427806,432462,432805,433852,	304221,343964,353911,376716,413433,422858,423977,427690,428006,432524,432947,438291,
AHRR	ENST00000512529	5	+	304183	434893	422737	434834	9	304183,343892,413343,422728,423840,427806,432462,432805,433852,	304221,343964,413433,422858,423977,428006,432524,432947,434893,
AC021087.2	ENST00000504656	5	-	288832	290321	290321	290321	2	288832,289442,	289156,290321,
AHRR	ENST00000514523	5	+	321758	422774	422737	422774	6	321758,343892,353729,376609,413343,422728,	321819,343969,353911,376716,413433,422774,
AHRR	ENST00000510400	5	+	322569	422760	343902	422760	6	322569,343892,353729,376609,413343,422728,	322662,343964,353911,376716,413433,422760,
AHRR	ENST00000652417	5	+	322635	368105	343902	367847	4	322635,343892,353729,367812,	322662,343964,353911,368105,
AHRR	ENST00000515206	5	+	322639	367992	343902	367983	4	322639,343892,353729,367807,	322662,343964,353911,367992,
AHRR	ENST00000504625	5	+	343527	353911	343902	353911	3	343527,343892,353729,	343708,343964,353911,
AHRR	ENST00000506456	5	+	420919	435110	421319	434834	7	420919,422728,423840,427806,432462,432805,433852,	421340,422858,423977,428006,432524,432947,435110,
AHRR	ENST00000510910	5	+	422376	423927	423927	423927	2	422376,423840,	422858,423927,
AHRR	ENST00000511487	5	+	427917	434409	427917	434409	2	427917,433852,	428006,434409,
AHRR	ENST00000507048	5	+	432024	435109	435109	435109	2	432024,433852,	432947,435109,
AC010442.2	ENST00000515583	5	-	403730	404546	404546	404546	1	403730,	404546,
AC010442.3	ENST00000509301	5	+	418702	419109	419109	419109	1	418702,	419109,
EXOC3-AS1	ENST00000623673	5	-	441497	443160	443160	443160	1	441497,	443160,
EXOC3-AS1	ENST00000408966	5	-	441529	443143	443143	443143	1	441529,	443143,
EXOC3	ENST00000510441	5	+	443174	447314	447314	447314	3	443174,446149,447017,	443290,446349,447314,
EXOC3	ENST00000512944	5	+	443175	467290	446205	466898	13	443175,446149,447532,453369,456888,457899,459358,461959,462156,464289,465110,465717,466726,	443290,446349,447752,454051,457006,458025,459459,462070,462307,464412,465272,465845,467290,
EXOC3	ENST00000515601	5	+	443232	471937	446205	462388	12	443232,446149,447532,453369,461959,462156,464289,465717,466726,468869,469789,471098,	443290,446349,447752,454051,462070,462529,465272,465845,468609,468942,469987,471937,
EXOC3	ENST00000508022	5	+	443267	447594	446205	447594	4	443267,444925,446149,447532,	443290,445064,446349,447594,
EXOC3	ENST00000315013	5	+	446148	467285	446205	466898	12	446148,447532,453369,456888,457899,459358,461959,462156,464289,465110,465717,466726,	446349,447752,454051,457006,458025,459459,462070,462307,464412,465272,465845,467285,
EXOC3	ENST00000503889	5	+	453396	471936	453396	464448	12	453396,456888,457899,459358,461959,462156,464289,465717,466726,468869,469789,471098,	454051,457006,458025,459459,462070,462307,465272,465845,468609,468942,469987,471936,
EXOC3	ENST00000510028	5	+	457005	459580	459580	459580	2	457005,459358,	458025,459580,
EXOC3	ENST00000511015	5	+	461629	464728	464728	464728	3	461629,462156,464289,	462070,462307,464728,
EXOC3	ENST00000505947	5	+	464788	466078	466078	466078	2	464788,465717,	465272,466078,
EXOC3	ENST00000509294	5	+	469855	471581	471581	471581	2	469855,471122,	469987,471581,
AC010442.1	ENST00000510714	5	-	466123	472876	472876	472876	2	466123,472678,	466526,472876,
AC010442.1	ENST00000342584	5	-	470509	473098	473098	473098	2	470509,472678,	471965,473098,
AC010442.1	ENST00000510604	5	-	471246	472960	472960	472960	2	471246,472678,	471823,472960,
AC010442.1	ENST00000502511	5	-	472106	472743	472743	472743	2	472106,472678,	472593,472743,
SLC9A3	ENST00000644203	5	-	470457	524322	472963	524322	16	470457,475560,476019,476201,476542,477331,479835,481564,482067,482547,483261,484519,485152,488315,491768,524111,	473382,475671,476092,476378,476672,477444,479965,481635,482157,482750,483482,484697,485231,488476,492071,524322,
SLC9A3	ENST00000264938	5	-	473309	524332	473378	524322	17	473309,474882,475560,476019,476201,476542,477331,479835,481564,482067,482547,483261,484519,485152,488315,491768,524111,	473382,475132,475671,476092,476378,476672,477444,479965,481635,482157,482750,483482,484697,485231,488476,492071,524332,
SLC9A3	ENST00000514375	5	-	473360	524330	473378	524322	17	473360,474882,475560,476019,476201,476542,477331,479835,481564,482067,482547,483261,484519,485152,488315,491768,524111,	473382,475132,475671,476092,476378,476672,477444,479965,481635,482130,482750,483482,484697,485231,488476,492071,524330,
SLC9A3	ENST00000507407	5	-	479636	482644	482644	482644	4	479636,481564,482067,482547,	479965,481635,482157,482644,
SLC9A3-AS1	ENST00000607286	5	+	473235	480467	480467	480467	7	473235,475136,476231,477243,477805,479781,480361,	473399,475319,476563,477336,477849,480216,480467,
SLC9A3-AS1	ENST00000658086	5	+	473747	475297	475297	475297	2	473747,475136,	474046,475297,
SLC9A3-AS1	ENST00000606319	5	+	475283	476490	476490	476490	2	475283,476049,	475319,476490,
SLC9A3-AS1	ENST00000658225	5	+	476407	480818	480818	480818	4	476407,477243,477805,479781,	476563,477465,477849,480818,
SLC9A3-AS1	ENST00000667998	5	+	476534	480122	480122	480122	4	476534,477243,477805,479865,	476563,477465,477849,480122,
SLC9A3-AS1	ENST00000667376	5	+	476973	480830	480830	480830	4	476973,477805,479781,480361,	477465,477849,480216,480830,
SLC9A3-AS1	ENST00000607005	5	+	477053	480006	480006	480006	3	477053,477805,479865,	477465,477849,480006,
SLC9A3-AS1	ENST00000606107	5	+	477103	480508	480508	480508	4	477103,477805,479781,480361,	477336,477849,480216,480508,
SLC9A3-AS1	ENST00000606074	5	+	477244	478651	478651	478651	2	477244,477805,	477465,478651,
SLC9A3-AS1	ENST00000606288	5	+	477244	480665	480665	480665	4	477244,477805,479865,480361,	477336,477849,480216,480665,
SLC9A3-AS1	ENST00000655313	5	+	477321	480440	480440	480440	5	477321,477805,479781,480067,480361,	477465,477849,479997,480216,480440,
SLC9A3-AS1	ENST00000534918	5	+	478122	480884	480884	480884	1	478122,	480884,
SLC9A3-AS1	ENST00000668009	5	+	479507	480602	480602	480602	2	479507,480361,	480216,480602,
AC106772.2	ENST00000652670	5	+	524108	527448	527448	527448	3	524108,524891,526411,	524185,524963,527448,
AC106772.2	ENST00000515085	5	+	524704	526594	526594	526594	2	524704,526411,	524963,526594,
MIR4456	ENST00000582112	5	-	535839	535882	535882	535882	1	535839,	535882,
AC106772.1	ENST00000506629	5	-	602619	612210	612210	612210	3	602619,611446,612151,	602844,611753,612210,
CEP72	ENST00000264935	5	+	612339	653553	612361	653153	12	612339,618989,620068,624470,633768,635371,637516,639088,640407,644298,647804,652987,	612443,619117,620261,624579,633947,635584,637818,639224,640604,644425,647916,653553,
CEP72	ENST00000512038	5	+	644137	653243	653243	653243	3	644137,647804,652987,	644425,647916,653243,
CEP72	ENST00000499639	5	+	653025	657093	657093	657093	3	653025,655455,656927,	653191,655584,657093,
CEP72	ENST00000514507	5	+	655454	667168	667168	667168	5	655454,663415,665179,665940,666863,	655584,663572,665325,666099,667168,
TPPP	ENST00000360578	5	-	659861	693352	665101	678060	4	659861,665969,677749,693277,	665296,666123,678064,693352,
AC026740.1	ENST00000607068	5	+	675825	676616	676616	676616	1	675825,	676616,
ZDHHC11B	ENST00000522356	5	-	710354	732671	732671	732671	4	710354,716800,730433,731961,	712282,716865,730468,732671,
ZDHHC11B	ENST00000508859	5	-	711807	784729	716807	766919	14	711807,716800,730433,733751,741593,745182,748403,751132,754997,755965,766697,767391,768834,784667,	712282,716865,730468,733839,741628,745298,748559,751257,755099,756144,766919,767524,768930,784729,
ZDHHC11B	ENST00000651714	5	-	751205	784729	755063	766919	7	751205,754997,765842,766697,767391,768834,784667,	751257,755099,765935,766919,767524,768930,784729,
ZDHHC11B	ENST00000651221	5	-	766614	784729	784729	784729	4	766614,767391,768834,784667,	766919,767524,768930,784729,
ZDHHC11B	ENST00000652055	5	-	766788	784729	766788	766919	5	766788,767391,768834,769954,784667,	766919,767524,768930,770117,784729,
ZDHHC11B	ENST00000651083	5	-	766834	784729	766834	766919	5	766834,767391,768834,783941,784667,	766919,767524,768930,784124,784729,
AC026740.3	ENST00000382776	5	-	716807	766919	716807	766919	10	716807,730433,733751,741593,745182,748403,751132,754997,755965,766697,	716865,730468,733839,741628,745298,748559,751257,755099,756144,766919,
AC026740.3	ENST00000622126	5	-	747351	751234	748118	748548	3	747351,748155,751140,	748154,748559,751234,
BRD9P2	ENST00000506203	5	-	767381	768930	768930	768930	2	767381,768834,	767524,768930,
AC026740.2	ENST00000649357	5	-	770004	770113	770113	770113	1	770004,	770113,
ZDHHC11	ENST00000503758	5	-	795605	842495	842495	842495	12	795605,801099,814760,819524,821142,821860,823388,825163,833772,837364,840494,840802,	796580,801164,814795,819612,821360,821895,823809,825251,833807,837478,840650,842495,
ZDHHC11	ENST00000283441	5	-	795606	850986	801106	850602	13	795606,801099,814760,819524,821860,825163,833772,837364,840494,843599,847513,848481,850380,	796580,801164,814795,819612,821895,825251,833807,837480,840650,843724,847615,848660,850986,
ZDHHC11	ENST00000424784	5	-	795606	801145	795758	796477	11	795606,795850,795869,795915,795938,796063,796125,796163,796185,796201,801099,	795845,795868,795914,795936,796061,796064,796160,796184,796200,796580,801145,
ZDHHC11	ENST00000507800	5	-	796324	847599	824033	847599	12	796324,801099,814760,819524,821860,823388,825163,833772,837364,840494,843599,847513,	796580,801164,814795,819612,821895,824093,825251,833807,837480,840650,843724,847599,
ZDHHC11	ENST00000508951	5	-	824007	850505	850505	850505	5	824007,825163,833772,837364,850440,	824093,825251,833807,837478,850505,
ZDHHC11	ENST00000511193	5	-	837435	849788	837435	843605	5	837435,840494,843599,847513,849649,	837480,840597,843724,847615,849788,
ZDHHC11	ENST00000511539	5	-	839441	843701	840210	840639	2	839441,843607,	840650,843701,
ZDHHC11	ENST00000505815	5	-	841577	843746	843746	843746	2	841577,843599,	841919,843746,
ZDHHC11	ENST00000512190	5	-	842408	843693	843693	843693	2	842408,843599,	842674,843693,
ZDHHC11	ENST00000503880	5	-	843341	847623	847623	847623	2	843341,847513,	843724,847623,
ZDHHC11	ENST00000512775	5	-	847707	850623	850623	850623	3	847707,848481,850380,	847780,848660,850623,
SPCS2P3	ENST00000500401	5	+	816345	817001	817001	817001	1	816345,	817001,
BRD9	ENST00000493082	5	-	850290	880098	880098	880098	3	850290,878354,879793,	850602,878487,880098,
BRD9	ENST00000497410	5	-	863740	866501	866501	866501	2	863740,865413,	864568,866501,
BRD9	ENST00000483234	5	-	863740	879315	879315	879315	6	863740,865413,870472,871525,876100,878354,	864568,865581,870575,871564,876212,879315,
BRD9	ENST00000495794	5	-	863740	890046	890046	890046	13	863740,865413,870472,871525,876100,878354,879793,881106,882955,886591,887360,889020,889586,	864568,865581,870575,871564,876212,878487,879889,882545,884070,886707,887471,889165,890046,
BRD9	ENST00000490814	5	-	863740	891797	889739	891752	19	863740,865413,868606,869244,870472,871525,876100,878354,879793,881106,883350,883937,886591,887360,888234,889020,889586,891154,891639,	864568,865581,869119,869404,870575,871564,876212,878487,879889,881182,883450,884070,886707,887471,888407,889165,889766,891287,891797,
BRD9	ENST00000495265	5	-	863740	892800	889739	891752	16	863740,865413,870472,871525,876100,878354,879793,881106,883937,886591,887360,889020,889586,891154,891639,892605,	864568,865581,870575,871564,876212,878487,879889,881182,884070,886767,887471,889165,889766,891287,891854,892800,
BRD9	ENST00000467963	5	-	863740	892801	864467	892657	16	863740,865413,870472,871525,876100,878354,879793,881106,883937,886591,887360,889020,889586,891154,891639,892605,	864568,865581,870575,871564,876212,878487,879889,881182,884070,886707,887471,889165,889647,891287,891854,892801,
BRD9	ENST00000489816	5	-	863744	892522	889739	891752	17	863744,865413,869244,870472,871525,876100,878354,879793,881106,883937,886591,887360,889020,889586,891154,891639,892086,	864568,865581,869394,870575,871564,876212,878487,879889,881182,884070,886707,887471,889165,889766,891287,891854,892522,
BRD9	ENST00000483173	5	-	864122	892546	864467	891752	16	864122,865413,870472,871525,876100,878354,879793,881106,883937,886591,887360,889020,889586,891154,891639,892508,	864568,865581,870575,871564,876212,878487,879889,881182,884070,886707,887471,889160,889647,891287,891854,892546,
BRD9	ENST00000519112	5	-	864422	878487	869267	878487	7	864422,865413,869244,870472,871525,876100,878354,	864568,865581,869404,870575,871564,876212,878487,
BRD9	ENST00000518250	5	-	865413	870553	869267	870553	5	865413,868606,869037,869244,870472,	865581,868804,869119,869404,870553,
BRD9	ENST00000523139	5	-	868701	876203	869362	876203	6	868701,869037,869244,870472,871525,876100,	868804,869119,869394,870575,871564,876203,
BRD9	ENST00000518251	5	-	868748	878440	869362	878440	6	868748,869244,870472,871525,876100,878354,	868804,869394,870575,871564,876212,878440,
BRD9	ENST00000475706	5	-	870287	883407	883407	883407	6	870287,871525,876100,878354,879793,883331,	870575,871564,876212,878487,879889,883407,
BRD9	ENST00000466684	5	-	876108	892559	889739	891752	11	876108,878354,879793,883937,886591,887360,889020,889586,891154,891639,892508,	876212,878487,879889,884070,886707,887471,889165,889766,891287,891854,892559,
BRD9	ENST00000519838	5	-	876159	883369	883369	883369	5	876159,878354,879793,881106,883331,	876212,878487,879889,881182,883369,
BRD9	ENST00000494422	5	-	878354	886907	886907	886907	4	878354,879793,886591,886863,	878487,879889,886767,886907,
BRD9	ENST00000489093	5	-	883939	891550	883939	889699	6	883939,886591,887360,889020,889586,891154,	884070,886767,887471,889165,889766,891550,
BRD9	ENST00000487688	5	-	889042	892522	889739	891752	5	889042,889586,891154,891639,892420,	889165,889766,891287,891854,892522,
TRIP13	ENST00000166345	5	+	892883	918120	892998	917103	13	892883,894786,896664,900493,901340,904147,907129,907987,908354,911842,914464,915903,917007,	893090,894952,896794,900549,901431,904220,907193,908074,908461,911996,914577,915973,918120,
TRIP13	ENST00000512024	5	+	892883	908932	908932	908932	9	892883,894786,896664,900493,901340,904147,907129,907987,908354,	893090,894952,896794,900549,901431,904220,907193,908074,908932,
TRIP13	ENST00000508456	5	+	893024	896790	896790	896790	3	893024,894786,896709,	893090,894952,896790,
TRIP13	ENST00000513435	5	+	893641	908074	893641	908074	8	893641,894786,896664,900493,901340,904147,907129,907987,	893720,894952,896794,900549,901431,904220,907193,908074,
TRIP13	ENST00000510412	5	+	914558	919357	919357	919357	4	914558,915903,917007,919019,	914577,915973,917151,919357,
TRIP13	ENST00000509210	5	+	915927	917448	917448	917448	3	915927,917007,917335,	915973,917151,917448,
TRIP13	ENST00000508430	5	+	917027	917900	917900	917900	2	917027,917718,	917151,917900,
AC122719.3	ENST00000662823	5	-	904318	912587	912587	912587	3	904318,907548,912361,	906759,907780,912587,
AC122719.1	ENST00000507989	5	+	946314	956520	956520	956520	2	946314,956123,	946476,956520,
AC122719.2	ENST00000511936	5	+	979364	981300	981300	981300	2	979364,981035,	979519,981300,
AC116351.1	ENST00000399869	5	-	987179	997308	997308	997308	2	987179,997270,	990623,997308,
AC116351.2	ENST00000606540	5	+	1005038	1006623	1006623	1006623	1	1005038,	1006623,
NKD2	ENST00000296849	5	+	1008828	1038943	1009057	1038373	10	1008828,1009178,1009480,1032151,1033371,1034234,1034755,1035388,1036256,1037804,	1009082,1009214,1009560,1032212,1033499,1034330,1034903,1035473,1036384,1038943,
NKD2	ENST00000274150	5	+	1008961	1038682	1009057	1037668	11	1008961,1009178,1009480,1032151,1033371,1034234,1034755,1035388,1036256,1037519,1037804,	1009082,1009214,1009560,1032212,1033499,1034330,1034903,1035473,1036384,1037698,1038682,
NKD2	ENST00000519933	5	+	1034135	1036172	1036172	1036172	4	1034135,1034755,1035388,1036109,	1034330,1034903,1035473,1036172,
NKD2	ENST00000523688	5	+	1034755	1038315	1038315	1038315	4	1034755,1035388,1036256,1037804,	1034903,1035473,1036384,1038315,
NKD2	ENST00000513296	5	+	1035804	1038284	1038284	1038284	2	1035804,1037804,	1036384,1038284,
SLC12A7	ENST00000264930	5	-	1050383	1112063	1052359	1111991	24	1050383,1053348,1057470,1060343,1063843,1064082,1065282,1073632,1074566,1075370,1076137,1076693,1077832,1078700,1079397,1081576,1083744,1085231,1086902,1088305,1088981,1093532,1094153,1111867,	1052451,1053482,1057649,1060451,1063975,1064252,1065478,1073801,1074671,1075490,1076236,1076812,1078007,1078758,1079496,1081744,1083956,1085473,1087033,1088360,1089128,1093655,1094248,1112063,
SLC12A7	ENST00000634447	5	-	1052185	1093575	1052359	1093575	23	1052185,1053348,1056581,1057470,1060343,1063843,1064082,1065282,1073632,1074566,1075370,1076137,1076693,1077832,1078700,1079397,1081576,1083744,1085231,1086902,1088305,1088981,1093532,	1052451,1053482,1056596,1057649,1060451,1063975,1064252,1065478,1073801,1074671,1075490,1076236,1076812,1078007,1078758,1079496,1081744,1083956,1085473,1087033,1088360,1089128,1093575,
SLC12A7	ENST00000514994	5	-	1057210	1063882	1063882	1063882	3	1057210,1060343,1063843,	1057649,1060451,1063882,
SLC12A7	ENST00000513223	5	-	1057527	1075434	1057527	1075434	8	1057527,1060343,1063843,1064082,1065282,1073632,1074566,1075370,	1057649,1060451,1063975,1064252,1065478,1073801,1074671,1075434,
SLC12A7	ENST00000504576	5	-	1073781	1076782	1076133	1076782	5	1073781,1074566,1075370,1075890,1076693,	1073801,1074671,1075490,1076236,1076782,
SLC12A7	ENST00000510943	5	-	1078518	1081658	1081658	1081658	3	1078518,1079397,1081576,	1078758,1079496,1081658,
MIR4635	ENST00000583759	5	-	1062895	1062974	1062974	1062974	1	1062895,	1062974,
AC114291.1	ENST00000514376	5	-	1173140	1178605	1178605	1178605	5	1173140,1174523,1175128,1175960,1178437,	1173478,1174630,1175688,1176544,1178605,
AC114291.1	ENST00000512572	5	-	1175396	1178594	1178594	1178594	3	1175396,1175970,1178437,	1175688,1176544,1178594,
AC114291.1	ENST00000505972	5	-	1175956	1178546	1178546	1178546	2	1175956,1178437,	1176544,1178546,
SLC6A19	ENST00000515652	5	+	1201594	1223270	1201650	1216827	11	1201594,1208745,1210535,1212302,1213462,1213952,1216557,1218902,1219504,1221150,1221700,	1201852,1208886,1210581,1212484,1213573,1214065,1216945,1219107,1219664,1221313,1223270,
SLC6A19	ENST00000304460	5	+	1201594	1225111	1201650	1221904	12	1201594,1208745,1210443,1212302,1213462,1213952,1216557,1216788,1218902,1219504,1221150,1221700,	1201852,1208886,1210581,1212484,1213573,1214065,1216686,1216945,1219107,1219664,1221313,1225111,
SLC6A18	ENST00000324642	5	+	1225380	1246189	1225477	1246078	12	1225380,1232218,1232750,1235480,1237949,1239449,1240530,1242706,1243554,1244213,1244607,1245847,	1225637,1232359,1232888,1235662,1238060,1239562,1240659,1242863,1243759,1244373,1244767,1246189,
SLC6A18	ENST00000513607	5	+	1225408	1232839	1232839	1232839	3	1225408,1232218,1232750,	1225637,1232359,1232839,
AC114291.2	ENST00000666708	5	+	1252005	1255976	1255976	1255976	3	1252005,1254673,1255305,	1252293,1254733,1255976,
TERT	ENST00000484238	5	-	1253146	1283010	1283010	1283010	11	1253146,1254367,1255286,1258597,1260473,1266463,1268519,1278640,1279290,1280157,1282428,	1253831,1254505,1255411,1258659,1260600,1266535,1268633,1278796,1279470,1280338,1283010,
TERT	ENST00000310581	5	-	1253166	1295047	1253727	1294989	16	1253166,1254367,1255286,1258597,1260473,1264403,1266463,1268519,1271118,1272184,1278640,1279290,1280157,1282428,1293312,1294770,	1253831,1254505,1255411,1258659,1260600,1264592,1266535,1268633,1271204,1272280,1278796,1279470,1280338,1282624,1294666,1295047,
TERT	ENST00000656021	5	-	1253166	1295047	1293160	1294989	17	1253166,1254367,1255286,1258597,1260473,1264403,1266463,1268519,1271118,1272184,1278640,1279290,1280157,1282428,1286164,1292963,1294770,	1253831,1254505,1255411,1258659,1260600,1264592,1266535,1268633,1271204,1272280,1278796,1279470,1280338,1282624,1287086,1294666,1295047,
TERT	ENST00000460137	5	-	1253727	1294989	1266511	1294989	13	1253727,1254367,1255286,1258597,1260473,1266463,1268519,1278640,1279290,1280157,1282428,1293312,1294770,	1253831,1254505,1255411,1258659,1260600,1266535,1268633,1278760,1279470,1280338,1282624,1294666,1294989,
TERT	ENST00000334602	5	-	1253727	1294989	1253727	1294989	15	1253727,1254367,1255286,1258597,1260473,1266463,1268519,1271118,1272184,1278640,1279290,1280157,1282428,1293312,1294770,	1253831,1254505,1255411,1258659,1260600,1266535,1268633,1271204,1272280,1278796,1279470,1280338,1282624,1294666,1294989,
TERT	ENST00000667927	5	-	1254616	1264534	1264534	1264534	5	1254616,1255286,1258597,1260473,1264403,	1254664,1255411,1258659,1260600,1264534,
TERT	ENST00000503656	5	-	1264247	1266524	1266524	1266524	2	1264247,1266463,	1264592,1266524,
MIR4457	ENST00000580663	5	-	1309309	1309377	1309377	1309377	1	1309309,	1309377,
